price,name,dealer,city
"$52,999",2021 Ford Explorer,"Lamb Ford
Camrose, AB","Camrose, AB"
"$53,150.25",2024 Ford Edge,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$31,999",2015 Ford F-150,"Lamb Ford
Camrose, AB","Camrose, AB"
"$65,089.25",2019 Ford F-350,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$12,000",2012 GMC Sierra 1500,"Lamb Ford
Camrose, AB","Camrose, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Lamb Ford
Camrose, AB","Camrose, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$16,900",2019 Chevrolet Equinox,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$2,750",2009 Honda Civic,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$6,300",2006 Nissan Titan,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,950",2010 Ford Transit Connect,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$13,900",2018 Hyundai Tucson,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,400",2004 Honda CR-V,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2005 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,200",1992 Mercury Topaz,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,500",2018 Chevrolet Malibu,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$5,600",2009 Ford Focus,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,000",2011 Hyundai Santa Fe,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$11,000",1969 Buick Skylark,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,000",2002 Buick LeSabre,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$14,000",2015 Nissan Rogue,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,750",2009 Honda Civic,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$5,700",2012 Honda Fit,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$6,300",2006 Nissan Titan,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$9,250",2007 Toyota RAV4,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,950",2010 Ford Transit Connect,"Lamb Ford
Camrose, AB","Camrose, AB"
"$6,000",2012 GMC Terrain,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$13,900",2018 Hyundai Tucson,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,650",2010 Ford Expedition,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$2,400",2004 Honda CR-V,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2013 Subaru Forester,"Lamb Ford
Camrose, AB","Camrose, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2005 Ford F-150,"Lamb Ford
Camrose, AB","Camrose, AB"
"$3,900",2009 Nissan Altima,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,200",1992 Mercury Topaz,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$4,700",2002 Ford Explorer Sport Trac,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,500",2018 Chevrolet Malibu,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$2,500",2004 Nissan Murano,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$5,600",2009 Ford Focus,"Lamb Ford
Camrose, AB","Camrose, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$3,950",2003 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,000",2011 Hyundai Santa Fe,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$11,000",1969 Buick Skylark,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,000",2002 Buick LeSabre,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$14,000",2015 Nissan Rogue,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$5,700",2012 Honda Fit,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$9,250",2007 Toyota RAV4,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$6,000",2012 GMC Terrain,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,650",2010 Ford Expedition,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Lamb Ford
Camrose, AB","Camrose, AB"
"$4,950",2007 Mercedes-Benz M-Class ML320,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2013 Subaru Forester,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Lamb Ford
Camrose, AB","Camrose, AB"
"$31,999",2015 Ford F-150,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$6,900",2010 Nissan Frontier,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Lamb Ford
Camrose, AB","Camrose, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$3,900",2009 Nissan Altima,"Lamb Ford
Camrose, AB","Camrose, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$8,450",2012 RAM 1500,"Lamb Ford
Camrose, AB","Camrose, AB"
"$65,089.25",2019 Ford F-350,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Lamb Ford
Camrose, AB","Camrose, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,450",2006 Volvo S40 T5,"Lamb Ford
Camrose, AB","Camrose, AB"
"$12,000",2012 GMC Sierra 1500,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$52,999",2021 Ford Explorer,"Lamb Ford
Camrose, AB","Camrose, AB"
"$2,750",2009 Honda Civic,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$2,750",2009 Honda Civic,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Lamb Ford
Camrose, AB","Camrose, AB"
"$6,300",2006 Nissan Titan,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Lamb Ford
Camrose, AB","Camrose, AB"
"$6,300",2006 Nissan Titan,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$2,950",2010 Ford Transit Connect,"Lamb Ford
Camrose, AB","Camrose, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2005 Chrysler Prowler,"Lamb Ford
Camrose, AB","Camrose, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,700",2002 Ford Explorer Sport Trac,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,300",2003 Mazda Protege5,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$19,950",2018 GMC Sierra 1500,"Lamb Ford
Camrose, AB","Camrose, AB"
"$52,999",2021 Ford Explorer,"Lamb Ford
Camrose, AB","Camrose, AB"
"$2,500",2004 Nissan Murano,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Lamb Ford
Camrose, AB","Camrose, AB"
"$31,999",2015 Ford F-150,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,950",2004 Lincoln LS V8,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$13,900",2018 Hyundai Tucson,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,950",2010 Ford Transit Connect,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Lamb Ford
Camrose, AB","Camrose, AB"
"$53,150.25",2024 Ford Edge,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$3,950",2003 Ford Explorer,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Lamb Ford
Camrose, AB","Camrose, AB"
"$65,089.25",2019 Ford F-350,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$52,999",2021 Ford Explorer,"Lamb Ford
Camrose, AB","Camrose, AB"
"$12,000",2010 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,400",2004 Honda CR-V,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$13,900",2018 Hyundai Tucson,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$52,999",2021 Ford Explorer,"Lamb Ford
Camrose, AB","Camrose, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$8,900",2013 Chevrolet Malibu,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$53,150.25",2024 Ford Edge,"Lamb Ford
Camrose, AB","Camrose, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,400",2004 Honda CR-V,"Lamb Ford
Camrose, AB","Camrose, AB"
"$53,150.25",2024 Ford Edge,"Lamb Ford
Camrose, AB","Camrose, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,950",2007 Mercedes-Benz M-Class ML320,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2005 Ford F-150,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$1,500",2005 Ford F-150,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Lamb Ford
Camrose, AB","Camrose, AB"
"$6,900",2010 Nissan Frontier,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,200",1992 Mercury Topaz,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,200",1992 Mercury Topaz,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$8,450",2012 RAM 1500,"Lamb Ford
Camrose, AB","Camrose, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,500",2018 Chevrolet Malibu,"Lamb Ford
Camrose, AB","Camrose, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,500",2018 Chevrolet Malibu,"Lamb Ford
Camrose, AB","Camrose, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,450",2006 Volvo S40 T5,"Lamb Ford
Camrose, AB","Camrose, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$5,600",2009 Ford Focus,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$5,600",2009 Ford Focus,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Lamb Ford
Camrose, AB","Camrose, AB"
"$19,950",2018 GMC Sierra 1500,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$52,999",2021 Ford Explorer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2005 Chrysler Prowler,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,000",2011 Hyundai Santa Fe,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$10,600",2012 Volvo S60 T5,"Lamb Ford
Camrose, AB","Camrose, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,300",2003 Mazda Protege5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$11,000",1969 Buick Skylark,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,750",2009 Honda Civic,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$31,999",2015 Ford F-150,"Lamb Ford
Camrose, AB","Camrose, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,900",2007 Honda Odyssey,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$53,150.25",2024 Ford Edge,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,000",2011 Hyundai Santa Fe,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Lamb Ford
Camrose, AB","Camrose, AB"
"$16,900",2019 Chevrolet Equinox,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,950",2004 Lincoln LS V8,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,000",2002 Buick LeSabre,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,750",2009 Honda Civic,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$6,300",2006 Nissan Titan,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$3,950",2013 Mitsubishi Lancer,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$31,999",2015 Ford F-150,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$11,000",1969 Buick Skylark,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
"$2,750",2009 Honda Civic,"Lamb Ford
Camrose, AB","Camrose, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2010 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,750",2009 Honda Civic,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$14,000",2015 Nissan Rogue,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$6,300",2006 Nissan Titan,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,950",2010 Ford Transit Connect,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$19,950",2018 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,950",2008 Dodge Grand Caravan,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$65,089.25",2019 Ford F-350,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,000",2002 Buick LeSabre,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$4,500",2009 Ford Flex,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$6,300",2006 Nissan Titan,"Lakeside Ford
Slave Lake, AB","Slave Lake, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$8,900",2013 Chevrolet Malibu,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$6,300",2006 Nissan Titan,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$5,700",2012 Honda Fit,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$2,950",2010 Ford Transit Connect,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$13,900",2018 Hyundai Tucson,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$16,900",2019 Chevrolet Equinox,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
$950,2004 Kia Sorento,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$9,500",2012 Hyundai Tucson,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$12,000",2012 GMC Sierra 1500,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$14,000",2015 Nissan Rogue,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$10,600",2012 Volvo S60 T5,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
"$1,500",2004 Chrysler Sebring,"Regal Auctions Ltd.
Calgary, AB","Calgary, AB"
